Party,Criminal Case,Total Assets,Liabilities,state,Education,SC,ST,Doctor,Advocate
INC,1,4000000,0,KARNATAKA,10th Pass,0,0,0,0
INC,27,50000000,9000000,ANDHRA PRADESH,Post Graduate,0,0,0,0
AITC,0,100000000,0,WEST BENGAL,Post Graduate,0,1,0,0
IND,0,170000000,10000000,BIHAR,Graduate,0,0,0,0
BJP,1,10000000,9500000,GOA,12th Pass,0,0,0,0
BJP,0,6400000,500000,ARUNACHAL PRADESH,Graduate Professional,0,0,0,0
BJD,6,8200000,120000000,ODISHA,Graduate Professional,0,0,0,0
INC,1,10000000,0,KERALA,Graduate Professional,0,0,0,1
BJP,0,8500000,60000000,KARNATAKA,Graduate,0,0,0,0
BJP,3,20000000,7400000,MAHARASHTRA,12th Pass,0,0,0,0
INC,1,9400000,350000000,KARNATAKA,Graduate,0,0,0,0
BJP,0,170000000,10000000,MAHARASHTRA,Graduate,0,0,0,0
YSRCP,4,140000000,1600000,ANDHRA PRADESH,Post Graduate,0,0,0,0
BJP,0,10000000,10000000,ANDHRA PRADESH,8th Pass,0,1,0,0
INC,2,10000000,4700000,HIMACHAL PRADESH,Post Graduate,1,0,0,0
BJD,0,190000000,700000,WEST BENGAL,12th Pass,0,0,0,0
BJP,0,9500000,60000000,RAJASTHAN,Post Graduate,0,1,0,0
INC,1,40000000,20000000,KARNATAKA,12th Pass,0,0,0,0
AAP,1,640000000,3200000,PUNJAB,8th Pass,0,0,0,0
BJP,0,50000000,2000000,UTTAR PRADESH,Doctorate,0,0,0,0
YSRCP,1,140000000,10000000,ANDHRA PRADESH,12th Pass,0,0,0,0
BJP,0,20000000,1500000,TAMIL NADU,10th Pass,1,0,0,0
INC,0,0,10000000,MADHYA PRADESH,10th Pass,0,0,0,0
BJP,1,3200000,61000,CHHATTISGARH,Post Graduate,0,0,0,0
BJP,6,500000,2000000,UTTAR PRADESH,Literate,0,0,0,0
INC,18,280000000,20000000,KARNATAKA,Graduate Professional,0,0,0,0
INC,1,40000000,3500000,KERALA,Graduate Professional,0,0,0,1
BJP,0,10000000,1500000,GUJARAT,Graduate Professional,1,0,0,0
BJP,0,8000000,100000,UTTAR PRADESH,Literate,1,0,0,0
CPI(M),1,10000000,0,KERALA,Graduate Professional,0,0,0,1
BJP,0,0,3200000,GUJARAT,10th Pass,0,1,0,0
BJP,0,190000000,0,TAMIL NADU,Graduate Professional,0,0,0,0
AIADMK,0,10000000,10000000,MADHYA PRADESH,12th Pass,0,1,0,0
SP,1,140000000,500000,UTTAR PRADESH,Graduate Professional,0,0,0,0
CPI(M),73,2800000,0,KERALA,10th Pass,0,0,0,0
BJP,0,250000000,300000,KARNATAKA,10th Pass,0,0,0,0
INC,0,5100000,320000000,KARNATAKA,Graduate Professional,0,0,0,0
INC,1,60000000,270000000,KARNATAKA,Graduate,0,0,0,0
INC,6,60000000,6100000,KARNATAKA,Post Graduate,0,0,0,0
AITC,0,10000000,0,WEST BENGAL,Graduate Professional,0,0,0,0
INC,4,8600000,8900000,PUDUCHERRY,Post Graduate,0,0,0,0
RJD,0,20000000,1200000,UTTARAKHAND,12th Pass,0,0,0,0
IND,1,110000000,40000000,MAHARASHTRA,Graduate,0,0,0,0
YSRCP,0,10000000,10000000,ANDHRA PRADESH,12th Pass,0,0,0,0
BJP,0,690000000,280000000,KARNATAKA,8th Pass,0,0,0,0
INC,0,4500000,9500000,KARNATAKA,12th Pass,0,0,0,0
BJP,1,130000000,0,PUNJAB,12th Pass,0,0,0,0
SP,0,20000000,0,WEST BENGAL,12th Pass,1,0,0,0
NCP,4,90000000,40000000,MAHARASHTRA,12th Pass,0,0,0,0
CPI(M),7,2960000000,9500000,KARNATAKA,10th Pass,0,0,0,0
BJP,0,10000000,3200000,MAHARASHTRA,8th Pass,0,0,0,0
NCP,0,180000000,10000000,MAHARASHTRA,10th Pass,0,0,0,0
BJP,0,1800000,3000000,TRIPURA,Post Graduate,0,1,0,0
AIADMK,0,10000000,20000000,UTTAR PRADESH,Graduate Professional,0,0,0,0
BJD,0,10000000,200000,HARYANA,Graduate Professional,0,0,0,0
JD(U),0,10000000,400000,BIHAR,12th Pass,0,0,0,0
IND,0,2300000,0,HARYANA,12th Pass,0,0,0,0
BJP,0,7900000,2600000,GUJARAT,Post Graduate,0,0,0,0
BJP,0,10000000,1100000,UTTAR PRADESH,Others,0,0,0,0
AITC,4,320000000,0,WEST BENGAL,12th Pass,1,0,0,0
INC,0,40000000,10000000,MANIPUR,Graduate,0,0,0,0
INC,2,270000000,5700000,KARNATAKA,Graduate Professional,0,0,0,0
INC,1,9100000,5100000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,0,60000000,1900000,UTTARAKHAND,Graduate,0,0,0,0
BJP,0,130000000,1000000,UTTAR PRADESH,Post Graduate,1,0,1,0
BJP,1,7700000,260000000,KARNATAKA,Graduate,0,0,0,0
BJP,1,230000000,7500000,UTTAR PRADESH,Graduate,0,0,0,0
AAP,0,7700000,10000000,UTTAR PRADESH,12th Pass,1,0,0,0
INC,1,1220000000,360000000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,0,130000000,10000000,NAGALAND,10th Pass,0,1,0,0
BJP,0,10000000,200000,UTTAR PRADESH,12th Pass,0,0,0,0
INC,0,890000000,25000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,0,130000000,1000000,UTTAR PRADESH,Post Graduate,0,0,1,0
BJP,0,50000000,300000,GUJARAT,10th Pass,0,0,0,0
CPI(M),1,2100000,0,KERALA,Graduate Professional,0,0,1,1
BJP,0,0,5200000,GUJARAT,Others,0,0,0,0
BJP,0,10000000,10000000,TAMIL NADU,Graduate,0,0,0,0
CPI(M),7,40000000,1400000,KERALA,Graduate Professional,0,0,0,1
BJP,0,30000000,1100000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,0,100000000,3000000,GUJARAT,10th Pass,0,0,0,0
CPI(M),7,7100000,240000000,BIHAR,Graduate Professional,0,0,0,1
BJP,6,110000000,0,UTTAR PRADESH,Graduate Professional,0,0,0,0
BJP,0,6500000,300000,UTTAR PRADESH,Literate,1,0,0,0
INC,4,10000000,40000000,WEST BENGAL,8th Pass,0,0,0,0
TDP,0,300000,20000000,MADHYA PRADESH,Graduate,0,0,0,0
BJP,3,10000000,20000000,RAJASTHAN,12th Pass,0,0,0,0
RJD,7,2200000,100000,BIHAR,Post Graduate,1,0,0,0
AAP,1,10000000,1400000,PUNJAB,Graduate Professional,0,0,0,0
BJP,0,270000000,1300000,KARNATAKA,12th Pass,0,0,0,0
JMM,3,10000000,1900000,JHARKHAND,Graduate,0,0,0,0
NCP,0,220000000,20000000,MAHARASHTRA,8th Pass,0,0,0,0
BJD,5,330000000,1700000,ODISHA,Graduate Professional,0,0,0,0
BJP,1,130000000,370000000,UTTAR PRADESH,Post Graduate,1,0,0,0
BJP,0,50000000,700000,UTTAR PRADESH,12th Pass,1,0,0,0
BJP,2,5000000000,5600000,KARNATAKA,Post Graduate,0,0,0,0
RJD,1,20000000,100000,BIHAR,12th Pass,0,0,0,0
BJP,0,170000000,6000000,ARUNACHAL PRADESH,12th Pass,0,0,0,0
IND,9,20000000,7500000,ARUNACHAL PRADESH,Graduate Professional,0,0,0,0
BJP,0,10000000,900000,ARUNACHAL PRADESH,12th Pass,0,0,0,0
BJP,0,130000000,10000000,UTTAR PRADESH,Doctorate,0,0,1,0
BJP,0,40000000,10000000,BIHAR,Doctorate,1,0,1,0
BJP,0,10000000,10000000,GUJARAT,12th Pass,0,0,0,0
BJP,0,790000000,300000000,KARNATAKA,8th Pass,0,0,0,0
SHS,4,0,10000000,MAHARASHTRA,12th Pass,0,0,0,0
INC,0,20000000,20000000,HARYANA,12th Pass,1,0,0,0
INC,1,0,2400000,KARNATAKA,8th Pass,0,0,0,0
AAP,0,4000000,400000,PUNJAB,12th Pass,0,0,0,0
INC,0,0,6900000,HIMACHAL PRADESH,Graduate Professional,0,1,0,1
BJP,12,7400000,370000000,KARNATAKA,Post Graduate,0,0,0,0
INC,0,2100000,2800000,ANDHRA PRADESH,Post Graduate,0,0,0,0
AITC,0,100000000,0,JHARKHAND,8th Pass,0,0,0,0
RJD,4,20000000,10000000,BIHAR,Doctorate,0,0,0,0
BJP,0,6500000,0,UTTAR PRADESH,Literate,1,0,0,0
INC,1,260000000,7600000,KARNATAKA,Graduate,0,0,0,0
BJP,1,50000000,0,WEST BENGAL,Graduate,0,0,0,0
BJP,0,0,140000000,WEST BENGAL,Graduate,0,1,0,0
BJP,0,310000000,2700000,UTTAR PRADESH,Literate,0,0,0,0
BJP,0,60000000,0,UTTAR PRADESH,Graduate Professional,0,0,0,0
INC,1,40000000,200000000,KARNATAKA,12th Pass,0,0,0,0
INC,8,170000000,20000000,KARNATAKA,Graduate,0,0,0,0
AITC,4,10000000,2700000,WEST BENGAL,Post Graduate,1,0,0,0
SP,1,40000000,60000000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,0,100000000,10000000,MAHARASHTRA,12th Pass,1,1,0,0
BJP,1,150000000,5000000,RAJASTHAN,Post Graduate,0,0,0,0
BJP,0,10000000,50000000,GUJARAT,10th Pass,0,0,0,0
SP,1,130000000,500000,UTTAR PRADESH,Graduate Professional,0,0,1,0
CPI(M),0,10000000,0,KERALA,Graduate Professional,0,0,0,1
SP,5,20000000,900000,UTTAR PRADESH,Graduate,1,0,0,0
INC,1,90000000,6900000,KERALA,Graduate Professional,0,0,0,1
RJD,1,10000000,0,BIHAR,Doctorate,0,0,0,0
RJD,3,10000000,60000000,TRIPURA,12th Pass,0,0,0,0
BJP,0,100000000,600000,ARUNACHAL PRADESH,10th Pass,1,0,0,0
INC,1,10000000,100000,KERALA,Graduate Professional,1,0,0,1
AITC,1,5600000,4400000,WEST BENGAL,8th Pass,1,0,0,0
RJD,4,10000000,0,BIHAR,Doctorate,0,0,0,0
BJP,0,170000000,20000000,MANIPUR,Graduate,0,0,0,0
JD(U),0,10000000,10000000,BIHAR,12th Pass,0,0,0,0
BJP,1,10000000,2300000,UTTAR PRADESH,12th Pass,0,0,0,0
BJD,0,800000,9300000,ODISHA,Post Graduate,0,0,0,0
BJP,0,10000000,0,GUJARAT,5th Pass,0,0,0,0
AITC,4,10000000,500000,WEST BENGAL,10th Pass,0,0,0,0
AAP,19,9700000,2000000,DELHI,Graduate Professional,0,0,0,0
AITC,1,10000000,0,WEST BENGAL,Post Graduate,0,0,0,0
INC,0,620000000,100000000,KARNATAKA,Graduate Professional,0,0,0,0
AITC,0,10000000,2500000,WEST BENGAL,8th Pass,0,0,0,0
SP,1,130000000,1000000,UTTAR PRADESH,Post Graduate,1,0,1,0
BJP,0,50000000,30000000,UTTAR PRADESH,Graduate,1,0,0,0
BJP,0,10000000,0,GUJARAT,10th Pass,0,0,0,0
INC,13,150000000,3300000,KERALA,Post Graduate,0,0,0,0
BJP,2,1600000,0,HARYANA,Post Graduate,0,0,0,0
BJP,0,6600000,0,HARYANA,Graduate Professional,0,0,0,0
INC,1,110000000,0,WEST BENGAL,Graduate Professional,0,0,0,0
JD(U),0,30000000,2200000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,0,60000000,300000,UTTAR PRADESH,Doctorate,1,0,0,0
AIADMK,0,180000000,6000000,DELHI,8th Pass,0,0,0,0
CPI(M),1,3600000,0,KERALA,Graduate Professional,0,0,0,1
Sikkim Krantikari Morcha,0,6200000,200000,SIKKIM,Graduate,0,0,0,0
NCP,0,100000000,8500000,MAHARASHTRA,8th Pass,0,1,0,0
BJP,0,60000000,10000000,MAHARASHTRA,12th Pass,1,0,0,0
INC,1,51000,47000,KARNATAKA,10th Pass,0,0,0,0
CPI(M),1,0,0,KERALA,Graduate Professional,0,0,0,1
BJP,0,50000000,30000000,MAHARASHTRA,12th Pass,1,0,0,0
DMK,19,250000000,100000000,TAMIL NADU,Graduate Professional,0,0,0,0
BJP,0,10000000,4500000,UTTAR PRADESH,12th Pass,1,0,0,0
AITC,0,10000000,0,WEST BENGAL,Literate,0,0,0,0
BJP,0,20000000,3500000,MADHYA PRADESH,Others,0,0,0,0
BJP,1,10000000,50000000,UTTAR PRADESH,Graduate,0,0,0,0
AAP,0,10000000,1500000,PUNJAB,12th Pass,0,0,0,0
YSRCP,0,10000000,2500000,TRIPURA,12th Pass,0,1,0,0
BJP,1,40000000,0,ASSAM,Post Graduate,0,0,0,0
AITC,4,320000000,0,WEST BENGAL,12th Pass,1,0,0,0
AIADMK,0,7900000,100000000,GUJARAT,10th Pass,0,0,0,0
INC,1,40000000,3900000,KERALA,Graduate Professional,0,0,0,1
JD(U),0,10000000,600000,TRIPURA,10th Pass,0,0,0,0
SHS,0,630000000,200000,ASSAM,10th Pass,0,0,0,0
YSRCP,0,10000000,700000,ANDHRA PRADESH,Post Graduate,0,0,0,0
BJD,1,20000000,700000,ODISHA,Post Graduate,0,0,0,0
AITC,11,3500000,0,WEST BENGAL,Post Graduate,1,0,0,0
INC,1,60000000,0,WEST BENGAL,Graduate Professional,0,0,0,1
BJP,1,6800000,40000000,MAHARASHTRA,12th Pass,1,0,0,0
INC,0,4200000,3300000,JHARKHAND,Graduate,0,0,0,0
BJP,4,8300000,2000000,BIHAR,10th Pass,1,0,0,0
BJP,0,1200000,0,ASSAM,10th Pass,0,0,0,0
BJD,0,800000,50000000,ODISHA,10th Pass,0,0,0,0
IND,4,10000000,3400000,BIHAR,12th Pass,0,0,0,0
BJP,1,300000,2700000,WEST BENGAL,10th Pass,0,0,0,0
BJP,0,90000000,4100000,MEGHALAYA,Graduate,0,1,0,0
INC,7,10000000,400000,PUNJAB,12th Pass,0,0,0,0
BJP,0,200000,9300000,KARNATAKA,Graduate Professional,0,0,0,0
NCP,1,500000,10000000,MAHARASHTRA,12th Pass,0,0,0,0
YSRCP,0,140000000,60000000,ANDHRA PRADESH,Post Graduate,0,0,0,0
BJP,0,8300000,200000,GUJARAT,5th Pass,1,0,0,0
JD(S),0,270000000,3000000,KARNATAKA,Graduate,0,0,0,0
BJP,0,10000000,1200000,UTTAR PRADESH,Graduate,0,0,0,0
JD(U),0,10000000,100000,BIHAR,12th Pass,0,0,0,0
BJP,0,0,500000,UTTAR PRADESH,Graduate,0,0,0,0
INC,1,280000000,40000000,KARNATAKA,Post Graduate,0,0,0,0
INC,1,10000000,3500000,KERALA,Graduate Professional,1,0,0,1
BJP,0,5300000,700000,TRIPURA,Graduate,0,1,0,0
JD(U),0,50000000,10000000,BIHAR,12th Pass,0,0,0,0
BJP,3,10000000,10000000,BIHAR,10th Pass,0,0,0,0
INC,10,200000000,7200000,KARNATAKA,Graduate Professional,0,0,0,0
DMK,22,10000000,900000,TAMIL NADU,8th Pass,0,0,0,0
AITC,0,20000000,700000,MANIPUR,Graduate,0,0,0,0
SP,6,0,500000,UTTAR PRADESH,Graduate Professional,0,0,0,0
SP,2,0,4200000,UTTAR PRADESH,12th Pass,0,0,0,0
BJP,0,350000000,0,SIKKIM,10th Pass,0,0,0,0
AITC,1,8300000,0,WEST BENGAL,Post Graduate,1,0,0,0
AITC,1,40000000,1700000,DELHI,Graduate Professional,0,0,0,0
BJP,0,50000000,0,UTTAR PRADESH,Others,0,0,0,0
SP,1,8500000,200000000,UTTAR PRADESH,Graduate Professional,0,0,0,0
INC,0,10000000,400000,JHARKHAND,12th Pass,0,1,0,0
INC,0,110000000,20000000,HARYANA,10th Pass,0,0,0,0
BJP,0,30000000,300000,UTTAR PRADESH,Graduate Professional,1,0,0,0
SP,1,60000000,1500000,UTTAR PRADESH,Post Graduate,0,0,0,0
BJP,0,500000,4900000,UTTAR PRADESH,Literate,0,0,0,0
BJP,9,3700000,0,KARNATAKA,Graduate Professional,0,0,0,0
AAP,0,10000000,2700000,DELHI,12th Pass,0,0,0,0
BJP,1,10000000,100000,MADHYA PRADESH,Graduate,0,0,0,0
BJP,0,120000000,800000,MADHYA PRADESH,12th Pass,1,0,0,0
INC,14,200000000,3300000,KARNATAKA,Graduate,0,0,0,0
BJP,0,920000000,2500000,HARYANA,12th Pass,0,0,0,0
AITC,11,320000000,500000,WEST BENGAL,12th Pass,0,0,0,0
BJP,0,240000000,9000000,TRIPURA,10th Pass,0,0,0,0
INC,1,260000000,3800000,KARNATAKA,12th Pass,0,0,0,0
BJD,0,300000000,7000000,ODISHA,10th Pass,0,0,0,0
DMK,1,110000000,10000000,HARYANA,Graduate Professional,0,0,0,0
BJP,0,100000000,100000,GUJARAT,10th Pass,0,0,0,0
BJP,0,100000000,0,HARYANA,Graduate Professional,0,0,0,0
BJP,0,3500000,0,GUJARAT,Graduate Professional,1,0,1,0
BJP,0,190000000,500000,KERALA,Graduate Professional,0,0,0,0
YSRCP,4,410000000,10000000,ANDHRA PRADESH,Post Graduate,0,0,0,0
INC,1,4600000,8700000,RAJASTHAN,10th Pass,0,0,0,0
Sikkim Krantikari Morcha,0,6200000,200000,SIKKIM,Graduate,0,0,0,0
BJP,0,2000000,1900000,RAJASTHAN,Graduate Professional,0,0,0,0
INC,0,130000000,130000000,UTTAR PRADESH,Graduate,0,1,0,0
NCP,0,110000000,20000000,HARYANA,12th Pass,0,0,0,0
BJP,0,100000000,7400000,UTTAR PRADESH,10th Pass,0,0,0,0
BJP,0,20000000,50000000,GUJARAT,12th Pass,0,0,0,0
YSRCP,4,160000000,170000000,ANDHRA PRADESH,Doctorate,0,0,0,0
BJP,0,30000000,600000,GUJARAT,12th Pass,0,0,0,0
AITC,0,6400000,0,WEST BENGAL,Post Graduate,1,0,0,0
AITC,1,6600000,500000,WEST BENGAL,Graduate Professional,0,0,0,0
AITC,11,5900000,0,KERALA,Post Graduate,0,0,0,0
BJP,0,20000000,0,WEST BENGAL,Graduate Professional,1,0,0,0
INC,13,8200000,1700000,WEST BENGAL,Post Graduate,0,0,0,0
INC,0,6800000,10000000,HARYANA,Graduate Professional,0,0,0,0
JMM,1,90000000,500000,JHARKHAND,12th Pass,0,1,0,0
SP,0,130000000,10000000,UTTAR PRADESH,Graduate Professional,0,0,1,0
BJP,0,10000000,10000000,GUJARAT,12th Pass,0,1,0,0
NPP,0,10000000,70000000,NAGALAND,Graduate,0,1,0,0
YSRCP,1,10000000,9400000,ANDHRA PRADESH,12th Pass,0,0,0,0
INC,11,200000000,20000000,BIHAR,12th Pass,0,0,0,0
BJP,0,130000000,10000000,UTTAR PRADESH,12th Pass,1,0,0,0
INC,1,180000000,2700000,JHARKHAND,Graduate,0,0,0,0
AITC,1,140000000,500000,WEST BENGAL,Graduate Professional,0,0,0,0
SP,1,10000000,170000000,UTTAR PRADESH,10th Pass,0,0,0,0
INC,0,0,1800000,MANIPUR,Post Graduate,0,0,0,0
AIADMK,1,140000000,10000000,KARNATAKA,10th Pass,1,0,0,0
BJP,0,40000000,800000,GUJARAT,10th Pass,0,0,0,0
JD(S),0,60000000,20000000,KARNATAKA,Graduate,0,0,0,0
BJP,0,140000000,1600000,UTTAR PRADESH,12th Pass,0,0,0,0
INC,1,6300000,6500000,KARNATAKA,Graduate Professional,1,0,0,0
INC,0,10000000,200000,MAHARASHTRA,12th Pass,1,0,0,0
BJP,1,4300000,1600000,MADHYA PRADESH,Literate,0,0,0,0
BJP,1,1600000,300000,UTTAR PRADESH,5th Pass,1,0,0,0
BJP,0,10000000,3100000,MAHARASHTRA,12th Pass,0,0,0,0
YSRCP,1,50000000,10000000,KARNATAKA,Graduate Professional,0,0,0,0
CPI(M),10,330000000,0,KERALA,Graduate Professional,0,0,0,0
JD(U),0,20000000,2000000,DELHI,10th Pass,0,0,0,0
NCP,4,40000000,20000000,MAHARASHTRA,12th Pass,0,0,0,0
BJP,0,30000000,130000000,UTTAR PRADESH,Graduate,0,0,0,0
DMK,0,40000000,4300000,TAMIL NADU,Post Graduate,0,0,0,0
BJP,0,60000000,4200000,KARNATAKA,Post Graduate,0,0,0,0
INC,0,40000000,200000,MANIPUR,Graduate,0,0,0,0
RJD,4,10000000,1900000,BIHAR,Doctorate,0,0,0,0
AAP,4,1800000,6000000,DELHI,Graduate Professional,0,0,0,0
BJP,0,170000000,300000,ASSAM,Graduate,0,0,0,0
AAP,0,10000000,2900000,DELHI,Graduate Professional,0,0,0,0
INC,23,390000000,7900000,RAJASTHAN,Post Graduate,0,0,0,0
BJP,0,40000000,800000,UTTAR PRADESH,Graduate Professional,1,0,0,0
BJP,1,4900000,7300000,GOA,Graduate Professional,0,0,0,0
BJP,0,100000000,1600000,GUJARAT,10th Pass,0,0,0,0
BJP,1,10000000,4100000,NAGALAND,Post Graduate,0,1,0,0
AAP,0,7000000,1140000000,RAJASTHAN,8th Pass,0,0,0,0
BJP,6,270000000,20000000,KERALA,Graduate Professional,0,0,0,0
BJD,0,30000000,0,ODISHA,Graduate Professional,0,0,0,0
SP,0,100000000,1100000,UTTAR PRADESH,Graduate,0,0,0,0
YSRCP,1,40000000,90000,KARNATAKA,Graduate Professional,0,0,0,0
IND,0,0,30000000,TAMIL NADU,Graduate Professional,0,0,0,0
BJP,0,10000000,1100000,GUJARAT,Graduate Professional,1,0,1,0
DMK,15,9600000,6700000,TAMIL NADU,Graduate Professional,0,0,0,0
SP,0,20000000,0,UTTAR PRADESH,Post Graduate,1,0,0,0
BJP,0,7900000,1600000,GUJARAT,10th Pass,0,0,0,0
BJP,0,10000000,60000000,GUJARAT,Post Graduate,0,0,0,0
BJP,0,10000000,100000,MAHARASHTRA,Doctorate,0,0,0,0
CPI(M),25,6600000,0,KERALA,8th Pass,0,0,0,0
INC,0,40000000,300000,ASSAM,Post Graduate,0,0,0,0
BJP,0,110000000,9000000,MAHARASHTRA,10th Pass,0,1,0,0
INC,8,280000000,20000000,KARNATAKA,Graduate Professional,0,0,0,0
YSRCP,0,40000000,10000000,HARYANA,10th Pass,0,0,0,0
INC,1,0,0,KERALA,Post Graduate,0,0,0,1
BJP,0,20000000,3100000,BIHAR,12th Pass,0,0,0,0
BJP,1,7800000,110000000,UTTAR PRADESH,Graduate Professional,0,0,0,0
BJP,0,140000000,400000,UTTAR PRADESH,12th Pass,1,0,0,0
BJP,0,50000000,1700000,CHHATTISGARH,12th Pass,0,0,0,0
DMK,0,150000000,30000000,HARYANA,10th Pass,0,0,0,0
INC,14,3300000,25000,KARNATAKA,8th Pass,0,0,0,0
SHS,4,270000000,40000000,MAHARASHTRA,Graduate,0,0,0,0
JMM,0,1500000,0,JHARKHAND,Post Graduate,0,1,0,0
SP,0,10000000,2500000,UTTAR PRADESH,12th Pass,0,0,0,0
BJP,25,5500000,5600000,RAJASTHAN,10th Pass,0,0,0,0
BJP,0,60000000,20000000,HARYANA,Graduate,0,0,0,0
CPI(M),7,3600000,1400000,KERALA,Graduate Professional,0,0,0,1
BJP,0,60000000,8100000,UTTAR PRADESH,12th Pass,0,0,0,0
INC,0,0,10000000,CHHATTISGARH,8th Pass,0,1,0,0
BJP,1,10000000,0,UTTAR PRADESH,Graduate Professional,1,0,1,0
AAP,2,4000000,1500000,PUNJAB,Post Graduate,0,0,0,0
BJP,2,280000000,500000,ANDHRA PRADESH,12th Pass,0,0,0,0
INC,0,9000000,1500000,RAJASTHAN,10th Pass,0,0,0,0
AAP,0,20000000,1800000,DELHI,Graduate Professional,0,0,1,0
RJD,4,40000000,1900000,BIHAR,Doctorate,1,0,0,0
BJP,1,10000000,10000000,UTTAR PRADESH,12th Pass,0,0,0,0
INC,0,460000000,30000000,KARNATAKA,Graduate Professional,0,0,0,0
DMK,0,60000000,10000000,TAMIL NADU,12th Pass,0,0,0,0
RJD,4,10000000,500000,BIHAR,Doctorate,0,0,0,0
BJP,0,300000000,1600000,HARYANA,8th Pass,0,0,0,0
INC,1,4500000,45000,KARNATAKA,Graduate,0,0,0,0
BJP,2,510000000,2500000,ANDHRA PRADESH,Graduate,0,0,0,0
BJP,1,190000000,7400000,MANIPUR,12th Pass,0,0,0,0
CPI(M),7,10000000,20000000,KERALA,Graduate Professional,0,0,0,0
YSRCP,1,140000000,7400000,ANDHRA PRADESH,Graduate Professional,0,0,0,0
BJP,2,5600000,4400000,PUDUCHERRY,12th Pass,0,0,0,0
INC,0,250000000,80000000,KARNATAKA,Doctorate,1,0,1,0
BJP,1,10000000,160000000,CHHATTISGARH,10th Pass,1,0,0,0
SP,4,130000000,0,UTTAR PRADESH,Graduate Professional,0,0,1,0
DMK,3,150000000,20000000,TAMIL NADU,12th Pass,0,0,0,0
YSRCP,1,20000000,2700000,ANDHRA PRADESH,12th Pass,0,0,0,0
AAP,0,1800000,6800000,PUNJAB,Post Graduate,0,0,0,0
SP,1,10000000,1000000,UTTAR PRADESH,Doctorate,1,0,1,0
BJP,3,40000000,2800000,MAHARASHTRA,12th Pass,0,0,0,0
BJP,4,120000000,2100000,HIMACHAL PRADESH,Graduate,0,0,1,0
BJP,0,120000000,2300000,PUNJAB,Graduate Professional,1,0,0,0
BJP,4,10000000,0,GUJARAT,10th Pass,0,0,0,0
INC,0,340000000,4900000,KARNATAKA,10th Pass,0,0,0,0
NPP,0,460000000,0,NAGALAND,Post Graduate,0,1,0,0
INC,0,340000000,2200000,KERALA,Graduate Professional,0,0,0,0
BJP,8,2100000,20000000,RAJASTHAN,Graduate,0,0,0,0
SP,1,10000000,1100000,UTTAR PRADESH,Graduate Professional,0,0,0,0
DMK,4,20000000,0,TAMIL NADU,12th Pass,0,0,0,0
INC,0,270000000,150000000,KARNATAKA,12th Pass,0,0,0,0
SP,4,10000000,60000000,UTTAR PRADESH,12th Pass,0,0,0,0
CPI,10,10000000,0,KERALA,Graduate Professional,0,0,0,1
BJD,0,30000000,600000,ODISHA,Post Graduate,0,0,0,0
BJP,0,30000000,10000000,UTTAR PRADESH,Graduate,0,0,0,0
BJP,0,110000000,20000000,UTTAR PRADESH,Doctorate,0,0,1,0
BJP,0,30000000,10000000,UTTAR PRADESH,10th Pass,0,0,0,0
SP,1,50000000,3600000,UTTAR PRADESH,Post Graduate,0,0,0,0
NDPP,0,40000000,10000000,NAGALAND,Post Graduate,0,1,0,0
DMK,3,150000000,20000000,TAMIL NADU,Graduate Professional,0,0,0,0
BJP,0,10000000,700000,HARYANA,Post Graduate,0,0,0,0
JMM,11,0,0,JHARKHAND,10th Pass,0,0,0,0
BJP,0,0,0,ARUNACHAL PRADESH,10th Pass,0,0,0,0
BJP,0,10000000,10000000,ANDHRA PRADESH,Post Graduate,0,0,0,0
BJP,1,40000000,600000,UTTAR PRADESH,10th Pass,1,0,0,0
BJP,0,5000000,1100000,ASSAM,Graduate Professional,0,0,0,0
INC,0,6800000,5700000,MAHARASHTRA,10th Pass,0,0,0,0
SP,0,10000000,0,UTTAR PRADESH,Literate,0,0,0,0
Tipra Motha Party,1,5300000,0,TRIPURA,Post Graduate,0,1,0,0
INC,0,150000000,1300000,KARNATAKA,Graduate,0,0,0,0
BJP,0,220000000,1600000,MAHARASHTRA,12th Pass,0,0,0,0
INC,0,640000000,2400000,KARNATAKA,8th Pass,0,0,0,0
AAP,0,6000000,1800000,PUNJAB,Graduate Professional,1,0,0,0
INC,7,40000000,0,KERALA,Graduate Professional,0,0,1,1
BJP,0,40000000,1200000,MAHARASHTRA,10th Pass,0,1,0,0
BJP,0,10000000,20000000,GUJARAT,Graduate Professional,0,0,0,0
DMK,3,40000000,900000,TAMIL NADU,10th Pass,0,0,0,0
BJP,0,10000000,9400000,BIHAR,Doctorate,0,0,0,0
JD(U),1,10000000,10000000,BIHAR,12th Pass,0,0,0,0
BJP,0,9500000,0,UTTAR PRADESH,Post Graduate,0,0,0,0
INC,1,140000000,2200000,KARNATAKA,Graduate Professional,0,0,0,0
BJP,0,60000000,1900000,CHHATTISGARH,12th Pass,0,0,0,0
INC,43,640000000,98000,RAJASTHAN,8th Pass,0,0,0,0
BJP,5,40000000,30000000,MADHYA PRADESH,Graduate,0,0,0,0
